Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103950,Polvo Compacto Kaloe No 1 Almendra,3.0,0.0,0.0,0.0,6817.94,0.19,0.0,24340.05,3886.23,33300,0,
,000103958,Pol Com Kaloe No. 8 Caoba,2.0,0.0,0.0,0.0,6365.0,0.19,0.0,15148.7,2418.7,18600,0,
,000103978,Compacto Kaloe Spf20 N 8 Caoba X 15G,1.0,0.0,0.0,0.0,7220.0,0.19,0.0,8591.8,1371.8,10400,0,
,000104421,Base Hidratante Almendra No 1,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000104422,Base Hidratante Arena No 2,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000104427,Base Hidra. Cocoa No. 7,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
LAB. COSMETICOS VOGUE S.A.,000789157,Vogue Esmalte Fantastic Fuerte 10Ml,2.0,0.0,0.0,0.0,2676.5,0.19,0.0,6370.07,1017.07,8000,0,
LAB. COSMETICOS VOGUE S.A.,000808872,Vogue Esmalteefecto Gel Extrovertida 14M,1.0,0.0,0.0,0.0,5102.0,0.19,0.0,6071.38,969.38,7400,0,
LAB. COSMETICOS VOGUE S.A.,000826678,Vogue Betun Pomada Camel 4G,1.0,0.0,0.0,0.0,7598.0,0.19,0.0,9041.62,1443.62,10900,0,
ACCESORIOS,002A,MOÑA REF 002,1.0,0.0,0.0,0.0,1400.0,0.19,0.0,1666.0,266.0,4200,0,
MASGLO,00311749C,DECORACION ESC DORADO 13.5ML MASGLO,1.0,0.0,0.0,0.0,3335.0,0.19,0.0,3968.65,633.65,5500,0,
,00312410C,Brillo Benevolente 13.5Ml Masglo,1.0,0.0,0.0,0.0,5814.0,0.19,0.0,6918.66,1104.66,9200,0,
,00312693C,Brillo Arcoiris 13.5Ml Masglo,1.0,0.0,0.0,0.0,5814.0,0.19,0.0,6918.66,1104.66,9200,0,
,00312869C,Admiss Pedro 10Ml,1.0,0.0,0.0,0.0,2048.0,0.19,0.0,2437.12,389.12,3000,0,
,00313325C,Inspiradora  13.5 Masglo,2.0,0.0,0.0,0.0,5239.0,0.19,0.0,12468.82,1990.82,15200,0,
,00313795C,Extraordinaria13.5Ml Masglo,3.0,0.0,0.0,0.0,5239.0,0.19,0.0,18703.23,2986.23,22800,0,
MULTIFARMA,00375,MOÑOS SURTIDOS,5.0,0.0,0.0,0.0,3517.4,0.19,0.0,20928.53,3341.53,35500,0,
MULTIFARMA,00548,LABIAL LIQUIDO ANGEL ROSE,1.0,0.0,0.0,0.0,5084.0,0.19,0.0,6049.96,965.96,15200,0,
MULTIFARMA,00594,PESAÑINA MASCARA CURLING,1.0,0.0,0.0,0.0,6218.5,0.19,0.0,7400.02,1181.52,12400,0,
DICOLFARMA,0745853173258,GOTAS VALERIANA X 30ML ARMONIZA,3.0,0.0,0.0,0.0,2520.0,0.0,0.0,7560.0,0.0,18900,0,
AXON PHARMA SAS,100000002,BRONCHO-VAXOM NINOS 10 CAP. (3%+),1.0,0.0,0.0,0.0,98791.0,0.0,0.0,98791.0,0.0,120400,0,
HALEON COLOMBIA S.A.S.,100000011,MUCOSINA GOTAS 30 ML,1.0,0.0,0.0,0.0,18197.0,0.0,0.0,18197.0,0.0,20900,0,
LABORATORIO FRANCO COLOMB,100000080,KLARICID 250 MG SUSP.50 ML(3%+)(A),1.0,0.0,0.0,0.0,105319.0,0.0,0.0,105319.0,0.0,109800,0,
EUROFARMA COLOMBIA S.A.S,100000097,NEOSALDINA 100 GRAGEAS (A),2.0,4.0,0.0,6239.19,155979.67,0.0,0.0,336916.1,0.0,353200,0,
LAB. LEGRAND S.A.,100000113,PARACODINA JARABE 120 ML,3.0,0.0,0.0,0.0,18529.0,0.0,0.0,55587.0,0.0,78600,0,
ABBOTT LABORATORIES S.A,100000134,PEDIASURE POLVO VAINILLA 400 GR,5.0,0.0,0.0,0.0,32287.29,0.0,0.0,161436.45,0.0,293000,0,
LABORATORIO FRANCO COLOMB,100000170,VALCOTE 500 MG 30 T(3%+)(A)(P)73200(PAE),2.0,0.0,0.0,0.0,69055.0,0.0,0.0,138110.0,0.0,268000,0,
ASTRA ZENECA COLOMBIA S.A,100000277,BETALOC ZOK 50 MG 30 TBS(P)18525(SC)(SF),2.0,0.0,0.0,0.0,17299.19,0.0,0.0,34598.38,0.0,36800,0,
ASTRA ZENECA COLOMBIA S.A,100000290,NOLVADEX D 20 MG 30 TABLETAS (3%+),2.0,0.0,0.0,0.0,56455.0,0.0,0.0,112910.0,0.0,121200,0,
ASTRA ZENECA COLOMBIA S.A,100000300,SEROQUEL 25 MG 30 TBS(P)16793(SC)(SF),1.0,0.0,0.0,0.0,15660.0,0.0,0.0,15660.0,0.0,27400,0,
OPELLA HEALTHCARE COLOMBI,100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),1.0,0.0,0.0,0.0,63552.5,0.0,0.0,63552.5,0.0,69100,0,
OPELLA HEALTHCARE COLOMBI,100000318,ALLEGRA 180 MG 10 TABLETAS (3%+)(A)(PAE),1.0,0.0,0.0,0.0,116590.0,0.0,0.0,116590.0,0.0,118300,0,
SANOFI AVENTIS DE COLOMBI,100000392,PROFENID 100 MG 6 AMPOLLAS,1.0,0.0,16424.17,0.0,98545.0,0.0,4.0,164241.68,0.0,169900,0,
TECNOQUIMICAS S.A.,100000449,TRAVAD ORAL LIMON 133 ML,1.0,0.0,0.0,0.0,25981.0,0.0,0.0,25981.0,0.0,30700,0,
BAYER S.A.,100000450,ACID MANTLE CREMA 60 GR,1.0,0.0,0.0,0.0,29084.0,0.0,0.0,29084.0,0.0,39200,0,
BAYER S.A.,100000465,ALKA SELTZER 60 TABLETAS,0.0,8.0,0.0,1876.77,0.0,0.0,0.0,15014.16,0.0,18400,0,
BAYER S.A.,100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,1.0,0.0,0.0,0.0,50574.5,0.0,0.0,50574.5,0.0,55500,0,
BAYER S.A.,100000482,BAYCUTEN N CREMA 20 GR,1.0,0.0,0.0,0.0,22102.0,0.0,0.0,22102.0,0.0,30700,0,
BAYER S.A.,100000483,BAYCUTEN N CREMA 35 GR,1.0,0.0,0.0,0.0,23024.0,0.0,0.0,23024.0,0.0,50600,0,
BIOCHEM FARMACEUTICA DE C,100000568,BIOCICAR CREMA 60 GR,1.0,0.0,0.0,0.0,16283.5,0.0,0.0,16283.5,0.0,34000,0,
LAB.SIEGFRIED S.A,100000575,BRONCOCHEM F ADULTO JARABE 120 ML,1.0,0.0,0.0,0.0,17113.0,0.0,0.0,17113.0,0.0,40100,0,
